Country name,Year,Rank,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Happiness Change,5-Year Change
Singapore,2024,34,6.565,6.65,6.481,2.022,1.565,0.935,0.856,0.164,0.522,0.501,0.0420000000000007,0.18790000915527028
Slovakia,2024,50,6.221,6.288,6.154,1.629,1.762,0.547,0.704,0.058,0.07,1.451,-0.03599999999999959,-0.059600070953369944
Slovenia,2024,19,6.792,6.889,6.695,1.692,1.718,0.802,0.961,0.121,0.113,1.384,0.04899999999999949,0.4286000175476099
Somalia,2024,122,4.347,4.49,4.203,0.535,0.877,0.046,0.916,0.206,0.192,1.575,-0.32099999999999973,
South Africa,2024,95,5.213,5.339,5.086,1.283,1.465,0.142,0.676,0.064,0.043,1.54,-0.20899999999999963,0.39890021133423037
South Sudan,2019,152,2.81660008430481,3.02751636505127,2.60568380355835,0.28908297419548,0.553278505802155,0.208809033036232,0.0656092539429665,0.20993460714817,0.111156798899174,1.37875127792358,-0.03639991569519019,
Spain,2024,38,6.466,6.547,6.385,1.69,1.685,0.894,0.734,0.112,0.18,1.17,0.04499999999999993,0.06510011291504014
Sri Lanka,2024,133,3.891,4.001,3.78,1.271,1.308,0.567,0.696,0.121,0.025,-0.099,-0.007000000000000117,-0.4360001411437997
State of Palestine,2024,108,4.78,4.886,4.675,1.047,1.456,0.521,0.618,0.055,0.081,1.368,-0.09899999999999931,0.22719982147217
Sudan,2017,137,4.139,,,,,,,,,,0.0,-0.28500000000000014
Swaziland,2020,131,4.308,4.448,4.168,0.849,0.693,0.074,0.323,0.067,0.147,2.155,-0.00010022354125993616,
Sweden,2024,4,7.345,7.427,7.262,1.783,1.698,0.889,0.952,0.17,0.467,1.385,0.0009999999999994458,-0.008499889373780434
Switzerland,2024,13,6.935,7.015,6.854,1.87,1.622,0.883,0.889,0.156,0.468,1.047,-0.125,-0.6248998069763205
Syria,2018,149,3.462,,,,,,,,,,0.0,-0.4299999999999997
Taiwan Province of China,2024,27,6.669,6.76,6.579,1.73,1.583,0.817,0.76,0.057,0.187,1.534,0.16599999999999948,0.21360000991820982
Tajikistan,2024,90,5.411,5.485,5.337,0.914,1.555,0.658,0.599,0.085,0.342,1.823,0.1299999999999999,-0.1446998252868701
